publish_date,outlet_id,conflict_id,death_reporting_count,human_rights_violations_count,id,death_report_percentage,hr_violation_percentage
2010-04-26 00:00:00,7,14,4.0,0.0,1,400.0,0.0
2010-04-30 00:00:00,67,1,1.0,0.0,1,100.0,0.0
2010-05-14 00:00:00,77,14,0.0,0.0,1,0.0,0.0
2010-05-25 00:00:00,19,14,4.0,1.0,1,400.0,100.0
2010-05-26 00:00:00,77,14,1.0,0.0,1,100.0,0.0
2010-06-07 00:00:00,7,14,0.0,2.0,1,0.0,200.0
2010-06-14 00:00:00,48,14,3.0,6.0,1,300.0,600.0
2010-06-18 00:00:00,56,1,0.0,0.0,1,0.0,0.0
2010-06-18 00:00:00,75,14,0.0,0.0,1,0.0,0.0
2010-07-08 00:00:00,39,14,0.0,0.0,1,0.0,0.0
2010-07-08 00:00:00,76,14,0.0,15.0,1,0.0,1500.0
2010-07-20 00:00:00,48,14,0.0,0.0,1,0.0,0.0
2010-07-21 00:00:00,106,14,0.0,0.0,1,0.0,0.0
2010-07-30 00:00:00,85,1,16.0,1.0,1,1600.0,100.0
2010-08-03 00:00:00,48,14,7.0,1.0,1,700.0,100.0
2010-08-28 00:00:00,37,1,1.0,2.0,1,100.0,200.0
2010-08-29 00:00:00,85,14,14.0,2.0,1,1400.0,200.0
2010-09-02 00:00:00,21,14,0.0,0.0,1,0.0,0.0
2010-09-02 00:00:00,48,14,3.0,0.0,1,300.0,0.0
2010-09-02 00:00:00,75,14,0.0,0.0,1,0.0,0.0
2010-09-25 00:00:00,47,14,0.0,0.0,1,0.0,0.0
2010-09-27 00:00:00,103,14,3.0,1.0,1,300.0,100.0
2010-10-11 00:00:00,48,14,1.0,0.0,1,100.0,0.0
2010-10-17 00:00:00,48,14,0.0,0.0,1,0.0,0.0
2010-10-18 00:00:00,77,14,1.0,0.0,1,100.0,0.0
2010-11-04 00:00:00,106,14,3.0,1.0,1,300.0,100.0
2010-11-08 00:00:00,35,14,1.0,0.0,1,100.0,0.0
2010-11-18 00:00:00,106,14,0.0,0.0,1,0.0,0.0
2010-11-20 00:00:00,1,14,0.0,0.0,1,0.0,0.0
2010-11-25 00:00:00,1,14,2.0,1.0,1,200.0,100.0
2010-12-01 00:00:00,48,14,0.0,0.0,1,0.0,0.0
2010-12-03 00:00:00,76,14,0.0,0.0,1,0.0,0.0
2010-12-16 00:00:00,77,14,0.0,6.0,1,0.0,600.0
2010-12-17 00:00:00,49,1,0.0,0.0,1,0.0,0.0
2010-12-25 00:00:00,48,14,0.0,0.0,1,0.0,0.0
2011-01-01 00:00:00,75,14,0.0,0.0,1,0.0,0.0
2011-01-20 00:00:00,39,14,0.0,0.0,1,0.0,0.0
2011-02-01 00:00:00,75,14,8.0,2.0,1,800.0,200.0
2011-03-15 00:00:00,96,14,3.0,1.0,1,300.0,100.0
2011-03-16 00:00:00,77,14,0.0,0.0,1,0.0,0.0
2011-03-18 00:00:00,7,1,2.0,0.0,1,200.0,0.0
2011-03-18 00:00:00,49,1,0.0,0.0,1,0.0,0.0
2011-03-22 00:00:00,48,14,0.0,0.0,1,0.0,0.0
2011-04-10 00:00:00,75,14,0.0,0.0,1,0.0,0.0
2011-04-15 00:00:00,48,14,2.0,0.0,1,200.0,0.0
2011-04-24 00:00:00,48,14,5.0,0.0,1,500.0,0.0
2011-04-28 00:00:00,48,14,1.0,0.0,1,100.0,0.0
2011-05-06 00:00:00,76,14,0.0,0.0,1,0.0,0.0
2011-05-18 00:00:00,77,14,0.0,0.0,1,0.0,0.0
2011-05-23 00:00:00,22,14,7.0,1.0,1,700.0,100.0
2011-05-26 00:00:00,24,14,0.0,1.0,1,0.0,100.0
2011-05-26 00:00:00,44,14,0.0,0.0,1,0.0,0.0
2011-05-27 00:00:00,12,14,3.0,2.0,1,300.0,200.0
2011-06-02 00:00:00,48,14,2.0,0.0,1,200.0,0.0
2011-06-10 00:00:00,77,14,0.0,0.0,1,0.0,0.0
2011-06-16 00:00:00,7,14,3.0,0.0,1,300.0,0.0
2011-07-14 00:00:00,35,14,1.0,0.0,1,100.0,0.0
2011-07-23 00:00:00,56,1,0.0,0.0,1,0.0,0.0
2011-08-19 00:00:00,75,14,0.0,1.0,1,0.0,100.0
2011-08-20 00:00:00,52,1,0.0,0.0,1,0.0,0.0
2011-08-30 00:00:00,67,1,0.0,0.0,1,0.0,0.0
2011-09-01 00:00:00,75,14,12.0,2.0,2,600.0,100.0
2011-09-03 00:00:00,67,1,0.0,0.0,1,0.0,0.0
2011-09-06 00:00:00,103,1,0.0,0.0,1,0.0,0.0
2011-09-07 00:00:00,103,1,4.0,2.0,1,400.0,200.0
2011-09-13 00:00:00,67,1,0.0,0.0,1,0.0,0.0
2011-09-14 00:00:00,77,14,7.0,1.0,1,700.0,100.0
2011-09-15 00:00:00,47,14,1.0,0.0,1,100.0,0.0
2011-09-19 00:00:00,75,14,3.0,1.0,1,300.0,100.0
2011-09-21 00:00:00,4,14,0.0,0.0,1,0.0,0.0
2011-09-23 00:00:00,76,14,0.0,0.0,1,0.0,0.0
2011-09-23 00:00:00,106,14,0.0,0.0,1,0.0,0.0
2011-10-30 00:00:00,14,14,0.0,0.0,1,0.0,0.0
2011-10-31 00:00:00,48,14,1.0,4.0,1,100.0,400.0
2011-11-01 00:00:00,75,14,4.0,0.0,1,400.0,0.0
2011-11-01 00:00:00,76,14,0.0,0.0,1,0.0,0.0
2011-11-16 00:00:00,48,14,1.0,2.0,1,100.0,200.0
2011-12-09 00:00:00,12,14,0.0,0.0,1,0.0,0.0
2011-12-10 00:00:00,75,14,0.0,0.0,1,0.0,0.0
2011-12-11 00:00:00,75,14,0.0,0.0,1,0.0,0.0
2011-12-13 00:00:00,76,14,3.0,1.0,1,300.0,100.0
2011-12-14 00:00:00,7,14,0.0,0.0,1,0.0,0.0
2011-12-16 00:00:00,35,14,5.0,0.0,1,500.0,0.0
2011-12-29 00:00:00,48,14,3.0,2.0,1,300.0,200.0
2012-01-18 00:00:00,47,14,1.0,2.0,1,100.0,200.0
2012-02-13 00:00:00,48,14,0.0,0.0,1,0.0,0.0
