outlet_id,conflict_id,mention_count,leader,context
57,14,0.0,Putin,death_reporting
58,1,110.0,Putin,death_reporting
58,14,0.0,Putin,death_reporting
59,1,19.0,Putin,death_reporting
59,14,0.0,Putin,death_reporting
60,1,269.0,Putin,death_reporting
60,14,3.0,Putin,death_reporting
61,1,85.0,Putin,death_reporting
61,14,12.0,Putin,death_reporting
62,1,304.0,Putin,death_reporting
62,14,0.0,Putin,death_reporting
63,1,3.0,Putin,death_reporting
63,14,0.0,Putin,death_reporting
64,1,289.0,Putin,death_reporting
64,14,27.0,Putin,death_reporting
65,1,191.0,Putin,death_reporting
65,14,2.0,Putin,death_reporting
66,1,157.0,Putin,death_reporting
66,14,1.0,Putin,death_reporting
67,1,291.0,Putin,death_reporting
67,14,23.0,Putin,death_reporting
68,1,354.0,Putin,death_reporting
68,14,40.0,Putin,death_reporting
69,1,39.0,Putin,death_reporting
69,14,0.0,Putin,death_reporting
70,14,0.0,Putin,death_reporting
71,1,7.0,Putin,death_reporting
71,14,2.0,Putin,death_reporting
72,1,262.0,Putin,death_reporting
72,14,1.0,Putin,death_reporting
73,1,173.0,Putin,death_reporting
73,14,10.0,Putin,death_reporting
74,1,382.0,Putin,death_reporting
74,14,15.0,Putin,death_reporting
75,1,348.0,Putin,death_reporting
75,14,1.0,Putin,death_reporting
76,1,373.0,Putin,death_reporting
76,14,14.0,Putin,death_reporting
77,1,379.0,Putin,death_reporting
77,14,12.0,Putin,death_reporting
78,1,0.0,Putin,death_reporting
78,14,0.0,Putin,death_reporting
79,1,287.0,Putin,death_reporting
79,14,15.0,Putin,death_reporting
80,1,7.0,Putin,death_reporting
80,14,0.0,Putin,death_reporting
81,1,4.0,Putin,death_reporting
81,14,1.0,Putin,death_reporting
82,1,21.0,Putin,death_reporting
82,14,0.0,Putin,death_reporting
83,1,392.0,Putin,death_reporting
83,14,0.0,Putin,death_reporting
84,1,12.0,Putin,death_reporting
84,14,33.0,Putin,death_reporting
85,1,129.0,Putin,death_reporting
85,14,9.0,Putin,death_reporting
86,1,244.0,Putin,death_reporting
86,14,7.0,Putin,death_reporting
87,1,261.0,Putin,death_reporting
87,14,4.0,Putin,death_reporting
89,1,254.0,Putin,death_reporting
89,14,3.0,Putin,death_reporting
90,1,247.0,Putin,death_reporting
90,14,1.0,Putin,death_reporting
91,1,285.0,Putin,death_reporting
91,14,7.0,Putin,death_reporting
92,1,168.0,Putin,death_reporting
92,14,11.0,Putin,death_reporting
93,1,275.0,Putin,death_reporting
93,14,26.0,Putin,death_reporting
94,1,338.0,Putin,death_reporting
94,14,0.0,Putin,death_reporting
95,1,424.0,Putin,death_reporting
95,14,11.0,Putin,death_reporting
96,1,151.0,Putin,death_reporting
96,14,19.0,Putin,death_reporting
97,1,84.0,Putin,death_reporting
97,14,4.0,Putin,death_reporting
98,1,300.0,Putin,death_reporting
98,14,2.0,Putin,death_reporting
99,1,251.0,Putin,death_reporting
99,14,22.0,Putin,death_reporting
100,1,5.0,Putin,death_reporting
100,14,0.0,Putin,death_reporting
101,1,1.0,Putin,death_reporting
101,14,0.0,Putin,death_reporting
102,1,180.0,Putin,death_reporting
102,14,25.0,Putin,death_reporting
103,1,240.0,Putin,death_reporting
103,14,17.0,Putin,death_reporting
104,1,0.0,Putin,death_reporting
104,14,8.0,Putin,death_reporting
105,1,260.0,Putin,death_reporting
105,14,2.0,Putin,death_reporting
106,1,16.0,Putin,death_reporting
