outlet_name,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
People's Daily,15.0,0.0,0.0,0.0,3.3333333333333335,48.333333333333336,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,10.0,0.0,0.0,10.0,6.666666666666667,1.6666666666666667,1.6666666666666667
Press TV,12.139917695473251,0.205761316872428,0.0,0.0,5.1440329218107,15.22633744855967,4.11522633744856,0.0,4.732510288065844,2.263374485596708,0.0,1.646090534979424,2.674897119341564,12.962962962962962,2.674897119341564,0.205761316872428,10.08230452674897,16.255144032921812,1.02880658436214,8.641975308641975
ProPublica,25.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT (Russia Today),15.454545454545453,0.0,0.30303030303030304,0.0,4.545454545454546,12.424242424242424,5.454545454545454,0.9090909090909091,1.8181818181818181,13.333333333333334,0.30303030303030304,0.30303030303030304,2.727272727272727,25.454545454545453,1.8181818181818181,0.0,7.2727272727272725,4.848484848484849,1.2121212121212122,1.8181818181818181
RTVE,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Radio France Internationale (RFI),3.1784841075794623,0.0,2.2004889975550124,1.7114914425427872,8.06845965770171,16.625916870415647,1.466992665036675,5.8679706601467,0.9779951100244498,4.645476772616137,0.7334963325183375,2.93398533007335,9.7799511002445,9.535452322738386,3.1784841075794623,0.7334963325183375,10.513447432762836,8.312958435207824,1.466992665036675,8.06845965770171
Reuters,4.145077720207254,3.281519861830743,1.2089810017271159,0.8635578583765112,7.772020725388601,16.753022452504318,2.763385146804836,4.317789291882556,3.7996545768566494,0.0,0.5181347150259068,8.46286701208981,8.46286701208981,12.953367875647666,3.454231433506045,1.8998272884283247,9.499136442141623,4.490500863557859,1.2089810017271159,4.145077720207254
Sky News,3.1746031746031744,0.3968253968253968,0.0,0.0,5.952380952380952,30.555555555555557,1.1904761904761905,0.0,8.73015873015873,4.365079365079365,0.0,5.952380952380952,5.158730158730158,9.920634920634921,7.142857142857142,0.3968253968253968,7.142857142857142,2.380952380952381,0.7936507936507936,6.746031746031746
TASS,20.11173184357542,0.0,0.0,0.0,13.966480446927374,12.849162011173185,0.0,0.0,1.675977653631285,13.966480446927374,0.0,0.0,4.4692737430167595,18.994413407821227,0.0,0.0,3.35195530726257,7.5418994413407825,0.0,3.072625698324022
Tasnim News Agency,2.097902097902098,0.0,0.0,0.0,2.097902097902098,44.05594405594406,2.097902097902098,0.0,0.0,0.0,0.0,0.6993006993006993,3.4965034965034967,23.776223776223777,0.0,0.0,11.888111888111888,4.195804195804196,0.0,5.594405594405594
The Atlantic,6.185567010309279,1.0309278350515463,0.0,0.0,8.24742268041237,44.329896907216494,0.0,0.0,3.0927835051546393,0.0,0.0,5.154639175257731,1.0309278350515463,9.278350515463918,1.0309278350515463,2.0618556701030926,6.185567010309279,2.0618556701030926,3.0927835051546393,7.216494845360824
The Conversation UK,14.285714285714285,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0
The Daily Telegraph,2.4691358024691357,0.0,0.0,0.0,6.419753086419753,22.469135802469136,0.49382716049382713,1.4814814814814816,1.9753086419753085,10.123456790123457,0.24691358024691357,4.938271604938271,8.395061728395062,16.790123456790123,3.45679012345679,1.9753086419753085,7.160493827160494,1.4814814814814816,1.4814814814814816,8.641975308641975
The Diplomat,6.1946902654867255,0.0,0.0,0.0,2.6548672566371683,25.663716814159294,3.982300884955752,0.0,3.0973451327433628,2.2123893805309733,0.4424778761061947,21.238938053097346,3.5398230088495577,9.29203539823009,2.6548672566371683,0.0,4.867256637168142,3.0973451327433628,0.4424778761061947,10.619469026548673
The Economist,3.070175438596491,0.0,0.0,0.0,6.140350877192982,28.50877192982456,1.3157894736842104,0.8771929824561403,0.8771929824561403,2.631578947368421,0.0,6.140350877192982,6.578947368421052,15.350877192982457,2.631578947368421,1.7543859649122806,6.578947368421052,2.631578947368421,5.701754385964912,9.210526315789473
The Globe and Mail,3.519061583577713,0.2932551319648094,0.0,0.0,6.744868035190615,28.152492668621704,0.2932551319648094,0.0,3.225806451612903,0.5865102639296188,0.0,10.263929618768328,2.346041055718475,22.28739002932551,0.2932551319648094,1.1730205278592376,11.143695014662756,3.519061583577713,2.932551319648094,3.225806451612903
The Guardian,4.1208791208791204,0.0,1.3736263736263736,1.098901098901099,3.021978021978022,16.758241758241756,0.27472527472527475,2.197802197802198,1.3736263736263736,6.593406593406594,0.27472527472527475,5.769230769230769,12.637362637362637,22.802197802197803,2.197802197802198,0.27472527472527475,10.43956043956044,2.4725274725274726,2.4725274725274726,3.8461538461538463
The Guardian International Edition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
The Hill,3.8202247191011236,0.44943820224719105,0.0,0.0,14.606741573033707,17.528089887640448,0.44943820224719105,0.0,4.719101123595506,0.0,0.22471910112359553,14.831460674157304,2.247191011235955,11.685393258426966,4.269662921348314,2.0224719101123596,8.539325842696629,3.3707865168539324,2.0224719101123596,9.213483146067416
The Hindu,6.156716417910448,0.0,0.0,0.0,8.955223880597014,18.65671641791045,4.664179104477612,0.3731343283582089,1.8656716417910446,6.7164179104477615,0.0,13.805970149253731,1.6791044776119404,18.097014925373134,0.5597014925373134,0.7462686567164178,7.276119402985075,7.649253731343284,0.9328358208955223,1.8656716417910446
The Independent,1.0169491525423728,3.050847457627119,0.3389830508474576,0.3389830508474576,7.796610169491526,18.305084745762713,5.084745762711865,0.0,1.3559322033898304,5.084745762711865,0.6779661016949152,15.593220338983052,9.830508474576272,17.627118644067796,2.3728813559322033,1.694915254237288,7.457627118644068,0.6779661016949152,1.0169491525423728,0.6779661016949152
The Intercept,6.666666666666667,0.0,0.0,0.0,11.666666666666666,40.833333333333336,4.166666666666666,0.0,6.666666666666667,0.0,0.0,2.5,0.8333333333333334,4.166666666666666,5.833333333333333,0.8333333333333334,4.166666666666666,7.5,0.0,4.166666666666666
The International New York Times,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,76.66666666666667,0.0,0.0,3.3333333333333335,6.666666666666667,0.0,3.3333333333333335
The Japan Times,5.054151624548736,0.0,0.0,0.0,3.9711191335740073,29.24187725631769,0.7220216606498195,0.0,1.083032490974729,0.7220216606498195,0.7220216606498195,9.386281588447654,2.888086642599278,19.855595667870034,0.0,0.36101083032490977,13.718411552346572,4.693140794223827,0.36101083032490977,7.2202166064981945
The Jerusalem Post,6.297229219143577,0.0,0.2518891687657431,0.0,17.632241813602015,16.876574307304786,0.7556675062972292,0.2518891687657431,2.518891687657431,1.2594458438287155,0.2518891687657431,3.022670025188917,5.541561712846348,10.327455919395465,2.518891687657431,4.030226700251889,8.060453400503778,10.075566750629724,0.7556675062972292,9.571788413098236
The Mirror,11.589403973509933,0.0,0.0,0.0,10.264900662251655,26.490066225165563,0.33112582781456956,0.0,1.3245033112582782,2.980132450331126,0.0,1.6556291390728477,0.9933774834437087,14.90066225165563,0.9933774834437087,0.6622516556291391,15.2317880794702,8.27814569536424,0.0,4.304635761589404
The New Statesman,9.929078014184398,0.0,0.0,0.0,2.127659574468085,41.843971631205676,0.0,0.0,2.127659574468085,3.546099290780142,0.0,2.127659574468085,2.127659574468085,15.602836879432624,0.0,0.0,4.964539007092199,7.801418439716312,0.7092198581560284,7.092198581560284
The New York Times,3.0973451327433628,2.6548672566371683,0.0,0.0,7.52212389380531,27.876106194690266,1.3274336283185841,1.3274336283185841,1.3274336283185841,0.0,1.7699115044247788,7.964601769911504,10.619469026548673,11.946902654867257,2.6548672566371683,0.4424778761061947,7.964601769911504,0.8849557522123894,1.3274336283185841,9.29203539823009
The Observer,8.333333333333332,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,8.333333333333332,0.0,4.166666666666666,0.0,0.0,50.0,0.0,0.0,4.166666666666666,8.333333333333332,0.0,0.0
The South China Morning Post,2.6865671641791042,0.0,0.0,0.0,8.358208955223882,26.56716417910448,3.2835820895522385,0.0,4.179104477611941,1.791044776119403,0.0,8.955223880597014,5.074626865671641,14.328358208955224,2.3880597014925375,0.2985074626865672,5.970149253731343,3.582089552238806,1.791044776119403,10.746268656716417
The Spectator,12.5,0.0,0.0,0.0,3.977272727272727,35.22727272727273,0.5681818181818182,0.0,2.272727272727273,1.7045454545454544,0.0,2.272727272727273,1.1363636363636365,12.5,1.1363636363636365,0.0,2.840909090909091,13.636363636363635,0.0,10.227272727272728
The Straits Times,10.483870967741936,0.0,0.0,0.0,7.526881720430108,18.548387096774192,2.1505376344086025,0.5376344086021506,1.6129032258064515,0.2688172043010753,0.0,16.93548387096774,1.3440860215053763,26.881720430107524,0.0,2.1505376344086025,3.763440860215054,5.64516129032258,0.5376344086021506,1.6129032258064515
The Sun,14.696485623003195,2.2364217252396164,0.0,0.0,7.0287539936102235,23.961661341853034,0.3194888178913738,0.0,0.9584664536741214,2.2364217252396164,0.0,0.6389776357827476,1.2779552715654952,20.12779552715655,2.2364217252396164,0.3194888178913738,7.348242811501597,12.140575079872203,0.0,4.472843450479233
The Sunday Times,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0
The Sydney Morning Herald,1.8433179723502304,0.0,0.0,0.0,7.373271889400922,45.16129032258064,0.4608294930875576,0.0,2.7649769585253456,0.9216589861751152,0.0,5.0691244239631335,0.4608294930875576,27.64976958525346,0.0,1.3824884792626728,2.7649769585253456,1.8433179723502304,0.0,2.3041474654377883
The Times,3.4700315457413247,0.9463722397476341,0.0,0.31545741324921134,8.832807570977918,23.65930599369085,0.31545741324921134,0.0,3.4700315457413247,3.7854889589905363,0.0,4.73186119873817,3.1545741324921135,18.61198738170347,3.4700315457413247,1.2618296529968454,9.46372239747634,2.8391167192429023,1.5772870662460567,10.094637223974763
The Times of India,5.1923076923076925,0.0,0.38461538461538464,0.0,15.96153846153846,17.307692307692307,4.423076923076923,0.38461538461538464,2.1153846153846154,3.653846153846154,0.19230769230769232,7.307692307692308,1.3461538461538463,14.807692307692308,0.7692307692307693,1.5384615384615385,9.230769230769232,10.961538461538462,0.19230769230769232,4.230769230769231
The Washington Post,2.307692307692308,0.7692307692307693,0.0,0.38461538461538464,7.6923076923076925,25.384615384615383,1.153846153846154,0.0,2.307692307692308,0.0,0.0,9.230769230769232,10.0,14.23076923076923,2.6923076923076925,2.307692307692308,8.076923076923077,1.5384615384615385,3.076923076923077,8.846153846153847
USA Today,3.763440860215054,0.0,0.0,0.0,19.35483870967742,43.54838709677419,0.0,0.5376344086021506,0.0,0.0,0.0,3.225806451612903,0.5376344086021506,22.58064516129032,0.0,0.5376344086021506,4.301075268817205,0.0,0.0,1.6129032258064515
Vox,5.825242718446602,0.0,0.0,0.0,11.650485436893204,30.097087378640776,1.9417475728155338,0.0,1.9417475728155338,0.0,0.0,4.854368932038835,1.9417475728155338,11.650485436893204,0.9708737864077669,0.9708737864077669,11.650485436893204,0.0,2.912621359223301,13.592233009708737
Xinhua News Agency,13.013698630136986,0.3424657534246575,0.0,0.3424657534246575,1.7123287671232876,26.36986301369863,0.0,4.4520547945205475,0.0,0.684931506849315,0.0,0.3424657534246575,0.3424657534246575,8.21917808219178,0.684931506849315,0.684931506849315,17.465753424657535,18.835616438356166,1.36986301369863,5.136986301369863
