publish_date,outlet_id,conflict_id,sentiment,sentiment_category,sentiment_intensity
2007-05-24 00:00:00,39,14,0.1008862433862433,positive,0.1008862433862433
2007-06-15 00:00:00,106,14,,neutral,
2007-07-24 00:00:00,67,14,0.0756970212327355,positive,0.0756970212327355
2007-07-27 00:00:00,75,14,-0.0447368421052631,neutral,0.0447368421052631
2007-08-30 00:00:00,39,14,0.0083333333333333,neutral,0.0083333333333333
2007-09-12 00:00:00,15,14,,neutral,
2007-10-08 00:00:00,85,14,0.0491847041847041,neutral,0.0491847041847041
2007-11-06 00:00:00,76,14,0.3499999999999999,positive,0.3499999999999999
2008-01-04,103,1,,neutral,
2008-02-14 00:00:00,103,14,0.0830882352941176,positive,0.0830882352941176
2008-02-22 00:00:00,77,14,0.1301282051282051,positive,0.1301282051282051
2008-03-20 00:00:00,76,14,0.0545374271948121,positive,0.0545374271948121
2008-04-02 00:00:00,85,14,0.0274793911761996,neutral,0.0274793911761996
2008-04-10 00:00:00,76,14,-0.0585575139146567,negative,0.0585575139146567
2008-04-18 00:00:00,106,14,0.0655299662117843,positive,0.0655299662117843
2008-05-01 00:00:00,47,14,0.1363636363636363,positive,0.1363636363636363
2008-05-06 00:00:00,85,14,-0.0583333333333333,negative,0.0583333333333333
2008-05-16 00:00:00,12,14,0.0768787768514843,positive,0.0768787768514843
2008-05-20 00:00:00,60,1,0.0021929824561403,neutral,0.0021929824561403
2008-05-30 00:00:00,67,1,0.097422274695002,positive,0.097422274695002
2008-06-22 00:00:00,80,14,-0.0977272727272727,negative,0.0977272727272727
2008-06-23 00:00:00,8,1,0.07175527463989,positive,0.07175527463989
2008-07-10 00:00:00,103,1,0.0543290043290043,positive,0.0543290043290043
2008-07-22 00:00:00,60,1,0.0197916666666666,neutral,0.0197916666666666
2008-08-23 00:00:00,67,1,-0.0302845528455284,neutral,0.0302845528455284
2008-09-12 00:00:00,42,1,0.0772727272727272,positive,0.0772727272727272
2008-10-13 00:00:00,67,1,-0.3333333333333333,negative,0.3333333333333333
2008-10-14 00:00:00,83,1,0.225,positive,0.225
2008-11-05 00:00:00,103,14,0.0,neutral,0.0
2009-01-01 00:00:00,75,14,,neutral,
2009-01-05 00:00:00,18,14,0.0341540404040403,neutral,0.0341540404040403
2009-01-05 00:00:00,29,14,,neutral,
2009-01-07 00:00:00,9,14,0.1109447004608295,positive,0.1109447004608295
2009-01-08 00:00:00,39,14,0.0701102214937166,positive,0.0701102214937166
2009-01-08 00:00:00,87,14,0.0612648221343873,positive,0.0612648221343873
2009-01-08 00:00:00,103,14,-0.875,negative,0.875
2009-01-08 00:00:00,106,14,0.0364939874939874,neutral,0.0364939874939874
2009-01-09 00:00:00,56,1,0.1598484848484848,positive,0.1598484848484848
2009-01-10 00:00:00,44,14,-0.0502314814814815,negative,0.0502314814814815
2009-01-12 00:00:00,8,14,-0.0068722943722943,neutral,0.0068722943722943
2009-01-14 00:00:00,22,14,0.0252152250265457,neutral,0.0252152250265457
2009-01-15 00:00:00,35,14,-0.0712474120082815,negative,0.0712474120082815
2009-01-18 00:00:00,22,14,,neutral,
2009-01-19 00:00:00,77,14,,neutral,
2009-02-10 00:00:00,57,1,0.1598484848484848,positive,0.1598484848484848
2009-02-10 00:00:00,57,14,-0.0041275408405038,neutral,0.0041275408405038
2009-02-12 00:00:00,106,14,0.0637241462241462,positive,0.0637241462241462
2009-02-16 00:00:00,48,14,0.0100332063769563,neutral,0.0100332063769563
2009-02-26 00:00:00,106,14,0.0331519371613711,neutral,0.0331519371613711
2009-03-01 00:00:00,75,14,0.0498285048285048,neutral,0.0498285048285048
2009-03-19 00:00:00,106,14,0.0933527187098615,positive,0.0933527187098615
2009-04-08 00:00:00,52,1,0.081060606060606,positive,0.081060606060606
2009-05-15 00:00:00,75,14,0.1074827999381569,positive,0.1074827999381569
2009-05-18 00:00:00,106,14,-0.0259259259259259,neutral,0.0259259259259259
2009-05-27 00:00:00,76,14,-0.060501107419712,negative,0.060501107419712
2009-05-30 00:00:00,15,1,0.2299999999999999,positive,0.2299999999999999
2009-06-03 00:00:00,106,14,0.0384700401224791,neutral,0.0384700401224791
2009-06-30 00:00:00,103,1,0.0046296296296296,neutral,0.0046296296296296
2009-07-02 00:00:00,103,14,-0.0183712121212121,neutral,0.0183712121212121
2009-07-16 00:00:00,103,1,-0.0988095238095238,negative,0.0988095238095238
2009-07-17 00:00:00,8,14,0.04,neutral,0.04
2009-07-22 00:00:00,75,14,0.0751800534921553,positive,0.0751800534921553
2009-08-04 00:00:00,77,14,,neutral,
2009-08-05 00:00:00,75,14,,neutral,
2009-08-09 00:00:00,64,1,0.090573593073593,positive,0.090573593073593
2009-08-18 00:00:00,85,1,0.0,neutral,0.0
2009-08-18 00:00:00,106,14,,neutral,
2009-08-24 00:00:00,106,14,0.0513062407903677,positive,0.0513062407903677
2009-09-09 00:00:00,75,14,0.0333333333333333,neutral,0.0333333333333333
2009-09-10 00:00:00,39,14,0.0128480442860973,neutral,0.0128480442860973
2009-09-11 00:00:00,83,1,0.2575,positive,0.2575
2009-09-17 00:00:00,86,14,,neutral,
2009-09-24 00:00:00,39,14,0.0036363636363636,neutral,0.0036363636363636
2009-10-22 00:00:00,15,14,,neutral,
2009-11-29 00:00:00,21,1,0.0160405643738977,neutral,0.0160405643738977
2009-12-06 00:00:00,21,14,0.0537949589351458,positive,0.0537949589351458
2009-12-11 00:00:00,75,14,,neutral,
2009-12-22 00:00:00,103,14,0.0737442853097058,positive,0.0737442853097058
2009-12-29 00:00:00,70,14,0.0696447230929989,positive,0.0696447230929989
2010-02-18 00:00:00,48,14,0.0567117513334618,neutral,0.0567117513334618
2010-02-22 00:00:00,48,14,0.0274127504797607,neutral,0.0274127504797607
2010-02-23 00:00:00,103,14,0.0823732943469785,positive,0.0823732943469785
2010-02-28 00:00:00,58,14,-0.0666666666666666,negative,0.0666666666666666
2010-03-05,64,1,,neutral,
2010-03-10 00:00:00,47,14,0.0333333333333333,neutral,0.0333333333333333
2010-03-14 00:00:00,77,14,0.6,positive,0.6
2010-03-15 00:00:00,85,14,0.0625,positive,0.0625
2010-03-16 00:00:00,12,14,0.1256410256410256,positive,0.1256410256410256
2010-03-21 00:00:00,48,14,0.1722222222222222,positive,0.1722222222222222
2010-03-22 00:00:00,48,14,0.1050595238095238,positive,0.1050595238095238
2010-03-26 00:00:00,75,14,,neutral,
2010-03-31 00:00:00,77,14,0.1047719118780762,positive,0.1047719118780762
2010-04-03 00:00:00,65,1,0.1215909090909091,positive,0.1215909090909091
2010-04-08 00:00:00,64,1,0.0459092343035857,neutral,0.0459092343035857
2010-04-09 00:00:00,77,14,,neutral,
2010-04-10 00:00:00,53,1,0.02853047757028275,neutral,0.02853047757028275
2010-04-11 00:00:00,53,1,0.03265845233948675,neutral,0.03265845233948675
2010-04-16 00:00:00,70,14,0.0483585858585858,neutral,0.0483585858585858
2010-04-21 00:00:00,7,14,0.1337691587691587,positive,0.1337691587691587
2010-04-26 00:00:00,7,14,0.0018305074555074,neutral,0.0018305074555074
2010-04-30 00:00:00,67,1,0.1236111111111111,positive,0.1236111111111111
2010-05-14 00:00:00,77,14,0.0666666666666666,positive,0.0666666666666666
2010-05-25 00:00:00,19,14,-0.013646978021978,neutral,0.013646978021978
2010-05-26 00:00:00,77,14,0.2042929292929293,positive,0.2042929292929293
2010-06-07 00:00:00,7,14,0.0357266989353603,neutral,0.0357266989353603
2010-06-14 00:00:00,48,14,0.0134126984126984,neutral,0.0134126984126984
2010-06-18 00:00:00,56,1,0.0712009803921568,positive,0.0712009803921568
2010-06-18 00:00:00,75,14,0.0166666666666666,neutral,0.0166666666666666
2010-07-08 00:00:00,39,14,-0.0172619047619047,neutral,0.0172619047619047
2010-07-08 00:00:00,76,14,0.0670304232804232,positive,0.0670304232804232
2010-07-20 00:00:00,48,14,0.3499999999999999,positive,0.3499999999999999
2010-07-21 00:00:00,106,14,0.1216666666666666,positive,0.1216666666666666
2010-07-30 00:00:00,85,1,0.0069545703338806,neutral,0.0069545703338806
2010-08-03 00:00:00,48,14,-0.0033572281959378,neutral,0.0033572281959378
2010-08-28 00:00:00,37,1,-0.0733189033189033,negative,0.0733189033189033
2010-08-29 00:00:00,85,14,-0.0138416345559202,neutral,0.0138416345559202
2010-09-02 00:00:00,21,14,0.0499999999999999,neutral,0.0499999999999999
2010-09-02 00:00:00,48,14,-0.1162509448223734,negative,0.1162509448223734
2010-09-02 00:00:00,75,14,0.0333333333333333,neutral,0.0333333333333333
2010-09-25 00:00:00,47,14,-0.017485119047619,neutral,0.017485119047619
2010-09-27 00:00:00,103,14,0.0397849093954621,neutral,0.0397849093954621
2010-10-11 00:00:00,48,14,-0.0851851851851852,negative,0.0851851851851852
2010-10-17 00:00:00,48,14,0.0148148148148148,neutral,0.0148148148148148
2010-10-18 00:00:00,77,14,0.0950313307141038,positive,0.0950313307141038
2010-11-04 00:00:00,106,14,0.134569209039548,positive,0.134569209039548
2010-11-08 00:00:00,35,14,0.0888888888888889,positive,0.0888888888888889
2010-11-18 00:00:00,106,14,0.0,neutral,0.0
2010-11-20 00:00:00,1,14,0.0671857131472516,positive,0.0671857131472516
2010-11-25 00:00:00,1,14,-0.0225961538461538,neutral,0.0225961538461538
2010-12-01 00:00:00,48,14,-0.0375,neutral,0.0375
2010-12-03 00:00:00,76,14,,neutral,
2010-12-16 00:00:00,77,14,0.126057954762774,positive,0.126057954762774
2010-12-17 00:00:00,49,1,0.1234805103475989,positive,0.1234805103475989
2010-12-25 00:00:00,48,14,0.0333333333333333,neutral,0.0333333333333333
2011-01-01 00:00:00,75,14,0.0919059644059644,positive,0.0919059644059644
2011-01-20 00:00:00,39,14,0.0803571428571428,positive,0.0803571428571428
2011-02-01 00:00:00,75,14,-0.0629713804713805,negative,0.0629713804713805
2011-03-15 00:00:00,96,14,0.0495698644421272,neutral,0.0495698644421272
2011-03-16 00:00:00,77,14,0.1349967473328129,positive,0.1349967473328129
2011-03-18 00:00:00,7,1,-0.0263095238095238,neutral,0.0263095238095238
2011-03-18 00:00:00,49,1,0.2,positive,0.2
2011-03-22 00:00:00,48,14,0.0333333333333333,neutral,0.0333333333333333
2011-04-10 00:00:00,75,14,,neutral,
2011-04-15 00:00:00,48,14,0.0306627196333078,neutral,0.0306627196333078
2011-04-24 00:00:00,48,14,0.0329365079365079,neutral,0.0329365079365079
2011-04-28 00:00:00,48,14,0.0884600468975469,positive,0.0884600468975469
2011-05-06 00:00:00,76,14,0.100706289978678,positive,0.100706289978678
2011-05-18 00:00:00,77,14,0.1083416583416583,positive,0.1083416583416583
2011-05-23 00:00:00,22,14,-0.0348529132211766,neutral,0.0348529132211766
2011-05-26 00:00:00,24,14,0.0199244751664106,neutral,0.0199244751664106
2011-05-26 00:00:00,44,14,0.0401007846320346,neutral,0.0401007846320346
2011-05-27 00:00:00,12,14,-0.0234841269841269,neutral,0.0234841269841269
2011-06-02 00:00:00,48,14,0.1915565476190475,positive,0.1915565476190475
2011-06-10 00:00:00,77,14,0.25,positive,0.25
2011-06-16 00:00:00,7,14,-0.0061309523809523,neutral,0.0061309523809523
