publish_date,outlet_id,conflict_id,sentiment,sentiment_category,sentiment_intensity,article_count,normalized_sentiment
2006-05-19 00:00:00,106,14,-0.0620313466295609,negative,0.0620313466295609,1,-0.0620313466295609
2006-06-04 00:00:00,7,14,0.0376370851370851,neutral,0.0376370851370851,1,0.0376370851370851
2006-06-15 00:00:00,39,14,,neutral,,1,
2006-07-13 00:00:00,76,14,0.0359649122807017,neutral,0.0359649122807017,1,0.0359649122807017
2006-07-25 00:00:00,26,1,0.0571988356471115,positive,0.0571988356471115,1,0.0571988356471115
2006-08-03 00:00:00,85,14,0.0006410256410256,neutral,0.0006410256410256,1,0.0006410256410256
2006-08-11 00:00:00,106,14,,neutral,,1,
2006-08-17 00:00:00,39,14,0.0344975048100048,neutral,0.0344975048100048,2,0.0172487524050024
2006-10-11 00:00:00,76,1,0.0522182420426222,positive,0.0522182420426222,1,0.0522182420426222
2006-10-11 00:00:00,76,14,,neutral,,1,
2006-11-02 00:00:00,39,14,0.0540849673202614,positive,0.0540849673202614,1,0.0540849673202614
2006-11-16 00:00:00,39,14,0.0769999999999999,positive,0.0769999999999999,1,0.0769999999999999
2006-12-17 00:00:00,43,14,0.1099206349206349,positive,0.1099206349206349,1,0.1099206349206349
2007-01-25 00:00:00,7,14,0.0598879475093317,positive,0.0598879475093317,1,0.0598879475093317
2007-02-14 00:00:00,106,14,0.0482635800272786,neutral,0.0482635800272786,1,0.0482635800272786
2007-05-01 00:00:00,85,14,0.0338370261757358,neutral,0.0338370261757358,1,0.0338370261757358
2007-05-24 00:00:00,39,14,0.1008862433862433,positive,0.1008862433862433,1,0.1008862433862433
2007-06-15 00:00:00,106,14,,neutral,,1,
2007-07-24 00:00:00,67,14,0.0756970212327355,positive,0.0756970212327355,1,0.0756970212327355
2007-07-27 00:00:00,75,14,-0.0447368421052631,neutral,0.0447368421052631,1,-0.0447368421052631
2007-08-30 00:00:00,39,14,0.0083333333333333,neutral,0.0083333333333333,1,0.0083333333333333
2007-09-12 00:00:00,15,14,,neutral,,1,
2007-10-08 00:00:00,85,14,0.0491847041847041,neutral,0.0491847041847041,1,0.0491847041847041
2007-11-06 00:00:00,76,14,0.3499999999999999,positive,0.3499999999999999,1,0.3499999999999999
2008-01-04,103,1,,neutral,,1,
2008-02-14 00:00:00,103,14,0.0830882352941176,positive,0.0830882352941176,1,0.0830882352941176
2008-02-22 00:00:00,77,14,0.1301282051282051,positive,0.1301282051282051,1,0.1301282051282051
2008-03-20 00:00:00,76,14,0.0545374271948121,positive,0.0545374271948121,1,0.0545374271948121
2008-04-02 00:00:00,85,14,0.0274793911761996,neutral,0.0274793911761996,1,0.0274793911761996
2008-04-10 00:00:00,76,14,-0.0585575139146567,negative,0.0585575139146567,1,-0.0585575139146567
2008-04-18 00:00:00,106,14,0.0655299662117843,positive,0.0655299662117843,1,0.0655299662117843
2008-05-01 00:00:00,47,14,0.1363636363636363,positive,0.1363636363636363,1,0.1363636363636363
2008-05-06 00:00:00,85,14,-0.0583333333333333,negative,0.0583333333333333,1,-0.0583333333333333
2008-05-16 00:00:00,12,14,0.0768787768514843,positive,0.0768787768514843,1,0.0768787768514843
2008-05-20 00:00:00,60,1,0.0021929824561403,neutral,0.0021929824561403,1,0.0021929824561403
2008-05-30 00:00:00,67,1,0.097422274695002,positive,0.097422274695002,1,0.097422274695002
2008-06-22 00:00:00,80,14,-0.0977272727272727,negative,0.0977272727272727,1,-0.0977272727272727
2008-06-23 00:00:00,8,1,0.07175527463989,positive,0.07175527463989,1,0.07175527463989
